2026-06-25 19:10:33,999 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-25 19:12:43,452 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-26 10:00:41,838 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-26 12:22:41,763 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-26 12:24:39,822 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-26 12:58:59,401 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-26 12:59:41,746 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-26 13:00:14,316 - INFO - conv_stripped_op.py:633 - No shifts available for layer stage2_eggplant_specialist/fc1/conv_op, using max shift instead. delta=0.2057
2026-06-26 13:00:14,367 - INFO - conv_stripped_op.py:633 - No shifts available for layer stage2_eggplant_specialist/fc1/conv_op, using max shift instead. delta=0.1028
2026-06-29 12:39:12,032 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 12:41:18,364 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 14:03:20,207 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 14:08:09,742 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 14:16:38,779 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 14:20:26,391 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 14:23:22,815 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 14:27:15,712 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 14:29:28,541 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 14:33:19,298 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 14:33:53,923 - INFO - conv_stripped_op.py:633 - No shifts available for layer stage2_eggplant_specialist/fc1/conv_op, using max shift instead. delta=0.1050
2026-06-29 14:33:53,973 - INFO - conv_stripped_op.py:633 - No shifts available for layer stage2_eggplant_specialist/fc1/conv_op, using max shift instead. delta=0.0525
2026-06-29 15:20:48,148 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 15:22:11,023 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 15:22:55,026 - INFO - conv_stripped_op.py:633 - No shifts available for layer stage2_okra_specialist/fc1/conv_op, using max shift instead. delta=0.5024
2026-06-29 15:22:55,077 - INFO - conv_stripped_op.py:633 - No shifts available for layer stage2_okra_specialist/fc1/conv_op, using max shift instead. delta=0.2512
2026-06-29 15:27:10,612 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 15:27:35,113 - INFO - conv_stripped_op.py:633 - No shifts available for layer stage2_tomato_specialist/fc1/conv_op, using max shift instead. delta=0.6645
2026-06-29 15:27:35,165 - INFO - conv_stripped_op.py:633 - No shifts available for layer stage2_tomato_specialist/fc1/conv_op, using max shift instead. delta=0.3322
2026-06-29 17:44:29,956 - INFO - __init__.py:28 - No GPU chosen and no suitable GPU found, falling back to CPU.
2026-06-29 17:46:06,143 - INFO - conv_stripped_op.py:633 - No shifts available for layer stage2_tomato_specialist/fc1/conv_op, using max shift instead. delta=0.6645
2026-06-29 17:46:06,252 - INFO - conv_stripped_op.py:633 - No shifts available for layer stage2_tomato_specialist/fc1/conv_op, using max shift instead. delta=0.3322
